CONCURSO,R1,R2,R3,R4,R5,R6,R7,FECHA,NPRODUCTO,BOLSA
4192,8,24,29,33,41,50,23,27/03/2026,,
4191,5,9,15,28,36,56,3,25/03/2026,,
4190,7,20,23,27,37,39,55,22/03/2026,40.0,126200000.0
4189,1,5,28,29,45,52,54,20/03/2026,40.0,122300000.0
4188,25,38,48,49,52,56,5,18/03/2026,40.0,117700000.0
4187,14,15,24,29,37,48,42,15/03/2026,40.0,114400000.0
4186,11,13,30,40,48,49,24,13/03/2026,40.0,110200000.0
4185,9,22,26,36,42,50,48,11/03/2026,40.0,106000000.0
4184,22,25,31,38,41,43,56,08/03/2026,40.0,102700000.0
4183,6,14,24,29,43,52,22,06/03/2026,40.0,98800000.0
4182,2,6,15,21,22,32,40,04/03/2026,40.0,95000000.0
4181,11,17,19,31,41,55,22,01/03/2026,40.0,91000000.0
4180,13,23,30,33,42,44,38,27/02/2026,40.0,86900000.0
4179,8,16,33,41,48,49,1,25/02/2026,40.0,82800000.0
4178,5,23,24,26,47,50,51,22/02/2026,40.0,79900000.0
4177,2,9,22,30,47,50,14,20/02/2026,40.0,75700000.0
4176,21,43,47,48,54,56,3,18/02/2026,40.0,70800000.0
4175,2,3,5,9,33,53,43,15/02/2026,40.0,68000000.0
4174,13,17,22,25,27,32,1,13/02/2026,40.0,64300000.0
4173,1,4,14,38,41,44,49,11/02/2026,40.0,60000000.0
4172,3,11,15,24,41,48,20,08/02/2026,40.0,56800000.0
4171,8,10,31,35,43,45,32,06/02/2026,40.0,52300000.0
4170,25,26,32,37,49,54,13,04/02/2026,40.0,47900000.0
4169,4,18,26,40,45,54,24,01/02/2026,40.0,44500000.0
4168,13,14,39,41,42,51,10,30/01/2026,40.0,40100000.0
4167,4,6,14,22,32,56,25,28/01/2026,40.0,36100000.0
4166,4,8,15,29,35,41,11,25/01/2026,40.0,33000000.0
4165,19,21,25,32,33,55,45,23/01/2026,40.0,30600000.0
4164,2,7,13,32,36,56,11,21/01/2026,40.0,30500000.0
4163,6,32,33,41,50,51,55,18/01/2026,40.0,30400000.0
4162,11,22,30,36,38,40,51,16/01/2026,40.0,30300000.0
4161,1,14,19,24,31,54,28,14/01/2026,40.0,30200000.0
4160,12,18,32,40,43,55,54,11/01/2026,40.0,30100000.0
4159,2,20,21,39,41,51,55,09/01/2026,40.0,30000000.0
4158,1,26,30,35,45,54,28,07/01/2026,40.0,30100000.0
4157,13,22,31,32,42,53,48,04/01/2026,40.0,30000000.0
4156,11,25,33,39,45,50,9,02/01/2026,40.0,272300000.0
4155,5,16,33,38,43,53,10,31/12/2025,40.0,266500000.0
4154,12,29,32,43,48,50,1,28/12/2025,40.0,262200000.0
4153,2,22,35,49,52,56,4,26/12/2025,40.0,256900000.0
4152,2,22,29,31,39,47,44,24/12/2025,40.0,250700000.0
4151,1,4,27,32,39,48,11,21/12/2025,40.0,247000000.0
4150,3,24,28,36,47,53,37,19/12/2025,40.0,243200000.0
4149,2,4,11,19,43,50,47,17/12/2025,40.0,238600000.0
4148,4,7,17,18,33,43,45,14/12/2025,40.0,235700000.0
4147,4,9,24,39,44,48,1,12/12/2025,40.0,231100000.0
4146,4,22,29,38,44,50,9,10/12/2025,40.0,226600000.0
4145,3,12,13,18,22,28,38,07/12/2025,40.0,224200000.0
4144,1,4,28,44,52,55,5,05/12/2025,40.0,219700000.0
4143,1,6,29,41,42,43,56,03/12/2025,40.0,214900000.0
4142,16,32,40,46,49,52,1,30/11/2025,40.0,210500000.0
4141,6,9,13,22,34,53,44,28/11/2025,40.0,206600000.0
4140,16,21,28,34,42,53,40,26/11/2025,40.0,202300000.0
4139,7,22,24,32,38,41,56,23/11/2025,40.0,199200000.0
4138,5,8,29,42,47,56,12,21/11/2025,40.0,195100000.0
4137,6,12,30,42,45,53,13,19/11/2025,40.0,191000000.0
4136,13,14,23,25,36,55,8,16/11/2025,40.0,188000000.0
4135,1,11,25,31,54,55,2,14/11/2025,40.0,183900000.0
4134,17,21,22,40,46,49,2,12/11/2025,40.0,179600000.0
4133,3,16,23,30,38,53,49,09/11/2025,40.0,176500000.0
4132,24,31,35,40,45,51,12,07/11/2025,40.0,171600000.0
4131,1,19,24,25,31,38,9,05/11/2025,40.0,167500000.0
4130,6,21,30,36,48,52,11,02/11/2025,40.0,164200000.0
4129,4,9,13,27,29,44,32,31/10/2025,40.0,160900000.0
4128,6,11,12,18,30,44,43,29/10/2025,40.0,157600000.0
4127,14,25,26,28,38,54,13,26/10/2025,40.0,154900000.0
4126,17,30,31,33,36,44,50,24/10/2025,40.0,151100000.0
4125,1,5,7,8,32,40,36,22/10/2025,40.0,147500000.0
4124,2,13,20,23,39,44,25,19/10/2025,40.0,144300000.0
4123,3,9,17,34,41,48,2,17/10/2025,40.0,140600000.0
4122,10,29,30,33,45,47,24,15/10/2025,40.0,136400000.0
4121,6,21,30,41,47,48,29,12/10/2025,40.0,133400000.0
4120,15,36,40,43,44,47,48,10/10/2025,40.0,129600000.0
4119,18,39,41,45,46,50,25,08/10/2025,40.0,125500000.0
4118,1,7,12,26,27,48,29,05/10/2025,40.0,123000000.0
4117,15,21,25,30,32,35,20,03/10/2025,40.0,119200000.0
4116,9,14,19,23,34,54,32,01/10/2025,40.0,115600000.0
4115,6,10,35,43,44,47,56,28/09/2025,40.0,112500000.0
4114,23,31,32,35,47,50,13,26/09/2025,40.0,108600000.0
4113,31,33,43,50,53,55,56,24/09/2025,40.0,104000000.0
4112,4,5,13,41,46,50,24,21/09/2025,40.0,101000000.0
4111,2,5,13,24,25,34,29,19/09/2025,40.0,98000000.0
4110,3,12,15,29,36,50,27,17/09/2025,40.0,94900000.0
4109,3,7,12,24,42,55,19,14/09/2025,40.0,93000000.0
4108,10,23,26,29,36,49,24,12/09/2025,40.0,89300000.0
4107,8,17,20,26,28,33,3,10/09/2025,40.0,86100000.0
4106,1,17,28,40,48,54,14,07/09/2025,40.0,82700000.0
4105,19,27,33,41,42,50,56,05/09/2025,40.0,79600000.0
4104,9,11,17,31,52,56,18,03/09/2025,40.0,75900000.0
4103,2,3,26,34,48,55,39,31/08/2025,40.0,72700000.0
4102,3,14,20,22,24,45,52,29/08/2025,40.0,69500000.0
4101,2,15,18,42,47,49,7,27/08/2025,40.0,65900000.0
4100,6,12,21,36,47,52,11,24/08/2025,40.0,63500000.0
4099,11,40,45,53,54,55,28,22/08/2025,40.0,59600000.0
4098,10,22,30,42,48,54,35,20/08/2025,40.0,55400000.0
4097,7,28,39,40,41,54,29,17/08/2025,40.0,52300000.0
4096,2,18,32,44,48,55,3,15/08/2025,40.0,48700000.0
4095,15,18,32,47,49,51,29,13/08/2025,40.0,44900000.0
4094,3,9,13,15,25,47,18,10/08/2025,40.0,42900000.0
4093,5,6,16,40,41,55,33,08/08/2025,40.0,39000000.0
4092,6,17,23,26,29,38,3,06/08/2025,40.0,35900000.0
4091,7,15,18,20,50,52,26,03/08/2025,40.0,33500000.0
4090,1,3,12,16,35,53,40,01/08/2025,40.0,30800000.0
4089,2,17,22,33,35,47,38,30/07/2025,40.0,30700000.0
4088,20,21,28,43,44,49,40,27/07/2025,40.0,30600000.0
4087,10,28,31,38,40,49,43,25/07/2025,40.0,30500000.0
4086,10,24,29,39,52,54,36,23/07/2025,40.0,30400000.0
4085,8,14,16,22,37,40,12,20/07/2025,40.0,30300000.0
4084,3,17,28,44,50,51,32,18/07/2025,40.0,30200000.0
4083,14,21,38,46,47,49,41,16/07/2025,40.0,30100000.0
4082,1,17,19,34,48,50,14,13/07/2025,40.0,30000000.0
4081,4,11,22,28,33,50,24,11/07/2025,40.0,30700000.0
4080,5,11,24,25,37,44,12,09/07/2025,40.0,30600000.0
4079,4,19,37,39,44,48,36,06/07/2025,40.0,30500000.0
4078,13,28,43,50,55,56,49,04/07/2025,40.0,30400000.0
4077,14,19,24,35,54,55,29,02/07/2025,40.0,30300000.0
4076,13,15,20,41,44,45,49,29/06/2025,40.0,30200000.0
4075,8,12,15,18,20,34,44,27/06/2025,40.0,30100000.0
4074,9,18,26,44,47,51,3,25/06/2025,40.0,30000000.0
4073,5,19,21,34,42,53,3,22/06/2025,40.0,228300000.0
4072,13,14,17,25,44,47,22,20/06/2025,40.0,224800000.0
4071,6,11,19,29,33,38,42,18/06/2025,40.0,221400000.0
4070,20,25,42,43,44,55,14,15/06/2025,40.0,218000000.0
4069,3,8,21,32,33,52,36,13/06/2025,40.0,214300000.0
4068,3,16,29,35,43,45,47,11/06/2025,40.0,210400000.0
4067,2,8,32,38,49,50,30,08/06/2025,40.0,207000000.0
4066,12,14,24,46,54,55,4,06/06/2025,40.0,202900000.0
4065,30,39,40,45,50,54,5,04/06/2025,40.0,197800000.0
4064,6,7,11,13,23,26,17,01/06/2025,40.0,195900000.0
4063,11,18,24,25,27,52,26,30/05/2025,40.0,192100000.0
4062,9,25,27,29,51,56,44,28/05/2025,40.0,188200000.0
4061,5,12,18,20,32,38,13,25/05/2025,40.0,185500000.0
